"zone_id";"country_id";"name";"code";"status"
684;44;"安徽省";"AN";1
685;44;"  北京市";"BE";1
686;44;"重庆市";"CH";1
687;44;" 福建省";"FU";1
688;44;"甘肃省";"GA";1
689;44;"广东省";"GU";1
690;44;"广西壮族自治区";"GX";1
691;44;"贵州省";"GZ";1
692;44;"湖南省";"HA";1
693;44;"河北省";"HB";1
694;44;"黑龙江省";"HL";1
695;44;"河南省";"HE";1
696;44;"香港";"HK";1
697;44;"湖北省";"HU";1
698;44;"海南省";"HN";1
699;44;"内蒙古自治区";"IM";1
700;44;" 江苏省";"JI";1
701;44;"江西省";"JX";1
702;44;"吉林省";"JL";1
703;44;"辽宁省";"LI";1
704;44;"澳门";"MA";1
705;44;"宁夏回族自治区";"NI";1
706;44;"山西省";"SH";1
707;44;" 山东省";"SA";1
708;44;"  上海市";"SG";1
709;44;"陕西省";"SX";1
710;44;"四川省";"SI";1
711;44;"  天津市";"TI";1
712;44;"新疆维吾尔自治区";"XI";1
713;44;"云南省";"YU";1
714;44;" 浙江省";"ZH";1
4240;44;" 重庆市";"CQ";1
4239;44;"西藏自治区";"XZ";1
4232;44;"青海省";"QH";1
